start,goal,length,capacity,street,n_direction,hodou,width,cross_node,from_,to_
645,726,196.359,828.9278872,市道1415号線,2,1,5.851183292,0,107,121
647,220,20.546,13200.0,国道254号線,2,0,24.0,1,108,45
647,382,46.729,13200.0,国道254号線,2,0,24.0,1,108,67
647,1227,219.964,590.0,市道1137号線,2,1,5.3,0,108,232
656,153,10.267,440.0,市道1163号線,2,1,4.8,0,109,28
656,230,168.801,200.0,市道1164号線,2,1,4.0,0,109,51
656,154,117.032,855.4216283,市道1163号線,2,1,5.427739422,0,109,29
657,759,72.328,1750.0,初雁城通り_1,2,0,9.0,1,110,135
657,153,122.183,440.0,市道1163号線,2,1,4.8,0,110,28
657,760,150.634,1750.0,初雁城通り_2,2,0,9.0,1,110,136
570,102,82.807,1750.0,県道15号線_4,2,0,9.0,1,99,16
673,570,68.672,1750.0,県道15号線_4,2,0,9.0,1,111,99
673,1153,102.64,1669.0,市道14号線_1,2,1,8.3,1,111,198
673,1437,150.281,1669.0,県道246号線_2,2,1,7.5,1,111,269
680,1318,31.627,1669.0,市道1200号線,1,1,7.2,0,112,248
680,682,120.042,1192.0,市道1198号線,1,1,3.3,0,112,113
682,1153,107.642,1669.0,市道14号線_1,2,1,8.3,1,113,198
682,198,110.3,1669.0,市道14号線_1,2,1,8.3,1,113,36
688,977,203.119,1529.0,市道1441号線,1,1,5.8,0,114,173
688,1325,144.506,1529.0,市道1447号線,2,1,5.8,0,114,249
713,837,91.975,1750.0,市道6号線_3,2,1,11.0,1,115,157
713,508,146.263,1750.0,市道6号線_4,2,0,7.478336968,1,115,84
713,529,131.753,1645.0,市道5号線_1,2,0,6.0,1,115,87
714,836,26.324,1750.0,市道6号線_5,2,0,10.0,1,116,156
714,508,100.298,1750.0,市道6号線_4,2,0,10.0,1,116,84
714,458,87.549,1529.0,市道1437号線,2,1,5.8,0,116,79
715,978,7.734,1750.0,市道6号線_5,2,0,10.0,1,117,174
715,466,178.385,1509.0,市道1434号線,2,1,5.7,0,117,81
715,836,223.943,1750.0,市道6号線_5,2,0,10.0,1,117,156
719,723,275.275,1750.0,市道6号線_7,2,0,10.0,1,118,119
719,1325,146.003,1529.0,市道1447号線,2,1,5.8,0,118,249
719,978,262.134,1750.0,市道6号線_5,2,0,10.0,1,118,174
723,725,107.57,1750.0,市道6号線_7,2,0,10.0,1,119,120
723,969,198.241,1569.0,市道3号線_4,2,1,6.0,1,119,171
723,719,275.275,1750.0,市道6号線_6,2,0,10.0,1,119,118
725,729,59.768,1750.0,市道6号線_7,2,0,10.0,1,120,122
725,723,107.57,1750.0,市道6号線_7,2,0,10.0,1,120,119
725,726,73.075,1669.0,市道1423号線,2,1,7.2,0,120,121
725,822,210.382,1017.78434,市道1423号線,2,1,5.700100294,0,120,150
726,729,95.616,1669.0,市道1415号線,2,1,7.5,0,121,122
726,725,73.075,1669.0,市道1423号線,2,1,7.2,0,121,120
726,645,196.359,828.9278872,市道1454号線,2,1,5.851183292,0,121,107
729,725,59.768,1750.0,市道6号線_7,2,0,10.0,1,122,120
729,906,60.725,1750.0,市道6号線_8,2,0,10.0,1,122,161
729,726,95.616,1669.0,市道1415号線,2,1,7.5,0,122,121
729,464,416.235,1669.0,市道1415号線,2,1,8.258560669,0,122,80
733,1157,79.73,1669.0,市道14号線_2,2,1,8.3,1,123,202
733,198,105.846,1669.0,市道14号線_2,2,1,8.3,1,123,36
736,739,159.113,1569.0,市道1173号線,2,1,6.0,0,124,125
736,1170,136.989,1669.0,市道1174号線_1,2,1,8.646002234,1,124,210
736,1159,171.385,620.0,市道1174号線_2,2,1,5.4,1,124,204
739,1167,24.11,1192.0,市道1179号線,1,1,4.7,0,125,209
739,736,159.113,1569.0,市道1173号線,2,1,6.0,0,125,124
745,736,231.58,1192.0,市道1173号線,1,1,4.68343553,0,126,124
745,280,152.904,117.8443337,市道1175号線,2,1,3.726147779,0,126,62
746,1278,85.654,1750.0,市道3号線_2,2,0,10.0,1,127,244
746,1192,103.267,1669.0,県道39号線_3,2,1,8.5,1,127,221
746,1199,170.987,1669.0,県道39号線_2,2,1,8.0,1,127,222
746,747,204.402,1750.0,市道3号線_2,2,0,10.0,1,127,128
747,994,131.741,1569.0,市道3号線_3,2,1,6.0,1,128,183
747,746,204.402,1750.0,市道3号線_2,2,0,10.0,1,128,127
747,748,120.247,1708.0,市道5号線_2,2,0,6.3,1,128,129
747,1009,201.111,1645.0,市道5号線_1,2,0,6.0,1,128,194
748,990,65.628,200.0,市道1394号線,2,1,4.0,0,129,180
748,1008,111.496,1708.0,市道5号線_2,2,0,6.3,1,129,193
748,747,120.247,1708.0,市道5号線_2,2,0,6.3,1,129,128
102,1286,111.013,1750.0,県道15号線_5,2,0,7.0,1,16,247
752,754,60.691,1750.0,市道4号線,2,0,7.8,0,130,132
769,1286,67.413,1750.0,県道15号線_5,2,0,7.0,1,143,247
753,752,27.728,1669.0,市道1236号線,1,1,8.0,0,131,130
754,979,93.521,1750.0,市道4号線,2,0,7.8,0,132,175
754,752,60.691,1750.0,市道4号線,2,0,7.8,0,132,130
754,470,287.753,1669.0,市道1401号線,2,1,10.0558199,0,132,82
755,547,50.662,500.0,市道1399号線,2,0,5.0,0,133,92
755,813,5.621,500.0,市道1399号線,2,0,5.0,0,133,145
755,535,118.089,440.0,市道1388号線,2,1,4.8,0,133,88
757,1335,79.585,50.0,市道1227号線,2,1,3.5,0,134,251
757,624,74.709,350.0,市道1225号線,2,1,4.5,0,134,104
757,523,264.397,200.0,市道1226号線,2,1,4.0,0,134,86
757,409,265.162,377.4801819,市道1226号線,2,1,4.591600606,0,134,70
759,227,105.998,1750.0,初雁城通り_1,2,0,9.0,1,135,48
759,657,72.328,1750.0,初雁城通り_1,2,0,9.0,1,135,110
759,624,229.747,350.0,市道1225号線,2,1,4.5,0,135,104
760,440,65.886,1669.0,市道2号線,2,1,7.0,0,136,77
760,997,159.526,650.0,市道2号線,2,1,5.5,0,136,186
760,1003,269.102,1750.0,初雁城通り_3,2,0,9.0,1,136,192
760,657,150.634,1750.0,初雁城通り_2,2,0,9.0,1,136,110
761,1180,91.594,1669.0,県道51号線_6,2,1,10.5,1,137,216
761,821,70.584,1750.0,県道51号線_7,2,0,9.8,1,137,149
761,402,43.071,1750.0,初雁城通り_4,2,0,9.0,1,137,69
761,1176,86.551,1669.0,本町通り,2,1,10.9,1,137,214
762,106,38.062,1669.0,本町通り,2,1,10.9,1,138,18
762,763,126.682,1669.0,県道39号線_6,2,1,10.9,1,138,139
762,764,124.12,1750.0,県道39号線_13,2,1,6.9,1,138,140
762,237,255.729,1669.0,県道12号線_1,2,1,10.5,1,138,54
763,762,126.682,1669.0,県道39号線_6,2,1,10.9,1,139,138
